Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2024-09-13,2,0,243585,0.0,0.0,2,0.0
2024-09-14,1,0,87970,0.0,0.0,1,1.0
2024-09-15,0,0,0,0.0,0.0,0,0.0
2024-09-16,2,0,311014,0.0,8000.0,2,0.0
2024-09-17,1,0,199536,0.0,3000.0,1,0.0
2024-09-18,5,0,231988,0.0,7000.0,5,0.0
2024-09-19,5,0,892960,0.0,3000.0,5,0.0
2024-09-20,1,0,60696,0.0,0.0,1,0.0
2024-09-21,0,0,0,0.0,0.0,0,0.0
2024-09-22,5,0,258170,0.0,4000.0,5,1.0
2024-09-23,0,0,0,0.0,0.0,0,0.0
2024-09-24,1,0,453472,0.0,24000.0,1,0.0
2024-09-25,7,0,608492,0.0,118000.0,7,0.0
2024-09-26,0,0,0,0.0,0.0,0,0.0
2024-09-27,1,0,16500,0.0,0.0,1,0.0
2024-09-28,2,0,45580,0.0,1000.0,2,1.0
2024-09-29,1,0,39480,0.0,9000.0,1,1.0
2024-09-30,0,0,0,0.0,0.0,0,0.0
2024-10-01,3,0,316788,0.0,28000.0,3,0.0
2024-10-02,2,0,332625,0.0,16000.0,2,0.0
2024-10-03,1,0,93533,0.0,4000.0,1,0.0
2024-10-04,11,0,578664,0.0,65000.0,11,0.0
2024-10-05,1,0,15882,0.0,0.0,1,1.0
2024-10-06,1,0,153880,0.0,56000.0,1,1.0
2024-10-07,1,0,90892,0.0,4000.0,1,0.0
2024-10-08,3,3,36474,0.0,0.0,0,0.0
2024-10-09,4,0,193844,0.0,29000.0,4,0.0
2024-10-10,4,0,152800,0.0,0.0,4,0.0
2024-10-11,4,0,433980,0.0,57000.0,4,0.0
2024-10-12,9,0,368800,0.0,36000.0,9,1.0
2024-10-13,4,0,128716,0.0,2000.0,4,1.0
2024-10-14,3,0,384160,0.0,0.0,3,0.0
2024-10-15,4,0,648077,0.0,68201.0,4,0.0
2024-10-16,0,0,0,0.0,0.0,0,0.0
2024-10-17,1,0,122100,0.0,2000.0,1,0.0
2024-10-18,5,0,164676,0.0,30000.0,5,0.0
2024-10-19,1,0,206000,0.0,0.0,1,1.0
2024-10-20,1,0,19720,0.0,0.0,1,1.0
2024-10-21,4,0,198508,0.0,52300.0,4,0.0
2024-10-22,0,0,0,0.0,0.0,0,0.0
2024-10-23,1,0,241846,0.0,16500.0,1,0.0
2024-10-24,0,0,0,0.0,0.0,0,0.0
2024-10-25,0,0,0,0.0,0.0,0,0.0
2024-10-26,0,0,0,0.0,0.0,0,0.0
2024-10-27,1,0,59900,0.0,0.0,1,1.0
2024-10-28,9,0,656305,0.0,47100.0,9,0.0
